TabName|FLD_NO|FLD_NAME|FLD_TYPE|FLD_LEN|ISPK|NOTE
-------|------|--------|--------|-------|----|----
CUST|1|CUS_NO|A|12|*|客户代号
CUST|2|IDX2|A|8|NULL|中类代号
CUST|3|CUS_ARE|A|20||区域
CUST|4|MAS_CUS|A|12|NULL|归属对象
CUST|5|OBJ_ID|A|1||客户类别(1:客户;2:厂商;3:客户厂商)
CUST|6|NAME|A|100||全称
CUST|7|SNM|A|30|NULL|简称
CUST|8|NM_ENG|M|200|NULL|英文名称
CUST|9|PAY_DD|S|NULL|NULL|保留!
CUST|10|CLS_MTH|A|1|NULL|结帐类别
CUST|11|CLS_DD|S|NULL|NULL|起算日
CUST|12|MM_END|S|NULL|NULL|间隔天数
CUST|13|CHK_DD|S|NULL|NULL|票据到期日
CUST|14|UNI_NO|A|20|NULL|统一编号
CUST|15|BOS_NM|A|30|NULL|负责人
CUST|16|CNT_JOB1|A|6|NULL|联络人1职称
CUST|17|CNT_MAN1|A|100||联络人1
CUST|18|CNT_JOB2|A|6|NULL|联络人2职称
CUST|19|CNT_MAN2|A|100||联络人2
CUST|20|ACC_MAN|A|100||会计
CUST|21|SAL|A|12|NULL|责任业务
CUST|22|TEL1|A|100||电话1
CUST|23|TEL2|A|100||电话2
CUST|24|FAX|A|100||传真
CUST|25|ADR1|M|200|NULL|发票地址
CUST|26|ADR2|M|200|NULL|公司地址
CUST|27|ADR_ENG|M|200|NULL|英文地址
CUST|28|ZIP|A|20|NULL|邮政编码
CUST|29|LIM_NR|N|NULL|NULL|信用额度
CUST|30|LIM_NC|N|NULL|NULL|票据信用额度
CUST|31|CRD_ID|A|1|NULL|信用管制
CUST|32|INV_ID|A|2|NULL|发票类别
CUST|33|ID1_TAX|A|1||扣税类别(1.不计税[√] 2.应税内含 3.应税外加)
CUST|34|ID2_TAX|A|1||按外币冲销否(T按外币冲销 F不按外币冲销[√])
CUST|35|CLS1|A|80|NULL|结帐方式
CUST|36|CLS2|A|1||立帐方式(1单张立帐[√] 2不立帐 3收到发票才立帐)
CUST|37|STR_DD|@|NULL|NULL|起始往来日期
CUST|38|END_DD|@|NULL|NULL|截止往来日期
CUST|39|CUR|A|4|NULL|使用币别
CUST|40|CRD_NR_NC|A|1||信用管制(1提示[√] 2管制 3不管制)
CUST|41|REM|M|200|NULL|摘要
CUST|42|E_MAIL|A|50|NULL|电子邮件
CUST|43|SEND_MTH|A|200|NULL|送货方式
CUST|44|SEND_WH|A|12|NULL|送货仓
CUST|45|BNK_NAME|A|40|NULL|保留!
CUST|46|ID_CODE|A|30|NULL|银行帐号
CUST|47|CUS_LEVEL|A|1||客户等级(1总代理[√]2一级代理3二级代理4经销/批发5一般客户)
CUST|48|INC_CHECK|A|1|NULL|保留!
CUST|49|LS_RTO|N|NULL|NULL|利息率
CUST|50|COMPNET|A|100||公司网站
CUST|51|COMP_DD|@|NULL|NULL|成立时间
CUST|52|CAPSUM|N|NULL|NULL|资本总额
CUST|53|BUSISUM|N|NULL|NULL|营业总额
CUST|54|SALMS|I|NULL|NULL|员工数
CUST|55|BUSINOTE|A|50|NULL|营业性质
CUST|56|WORKITM|M|1|NULL|经营项目
CUST|57|MAIN_PRD|M|1|NULL|主要产品
CUST|58|CHK_CRD|A|1||信用额度含票据否(T上下属共用信用额度 F上下属不共用[√])
CUST|59|S_FLAG|A|1|NULL|保留!
CUST|60|INITNUM|N|NULL|NULL|保留!
CUST|61|NOTIFY|A|30|NULL|到港联络人
CUST|62|BROKER|A|30|NULL|报关行
CUST|63|VESSEL|A|60|NULL|船名
CUST|64|LOADING_PORT|A|60|NULL|装货港/收货地
CUST|65|DIS_PORT|A|60|NULL|卸货港/目的地
CUST|66|MANU_PLACE|A|60|NULL|产地
CUST|67|EPAPER|A|1|NULL|是否订阅电子报
CUST|68|TRAN_REC|A|1|NULL|是否订阅交易记录
CUST|69|PSWD|A|20|NULL|密码
CUST|70|PSWD_HIT|A|80|NULL|密码提示
CUST|71|PSWD_ANS|A|20|NULL|密码提示答案
CUST|72|APPLY_DD|@|NULL|NULL|核准日
CUST|73|BIZ_DSC|A|10|NULL|行业别
