TabNameRaw|TabName|TAB_TITLE|BIG5_NAME|MODIFIED|ISDEL|FldCount
----------|-------|---------|---------|--------|-----|--------
AAGBL_CUS1.DB|AAGBL_CUS1|客户订单类别对应库(唐麦)|客戶訂單類別對應庫(唐麥)|T|F|4
ABGT.DB|ABGT|科目预算档|科目預算檔|F|F|14
ABGT_H.DB|ABGT_H|科目预算历史库|科目預算歷史庫|T|F|6
ABGT_SEI.DB|ABGT_SEI|资金预估金额表|資金預估金額表|T|F|40
ABGT1.DB|ABGT1|预算表身档|預算表身檔|F|F|32
ABGT1_H.DB|ABGT1_H|科目预算表身历史库|科目預算表身歷史庫|F|F|39
ACC_CSH.DB|ACC_CSH|现金流量项目与会计科目的对应明细库|現金流量項目與會計科目的對應明細庫|T|F|3
ACC_IO.DB|ACC_IO|各地市会计资料接口信息库|各地市會計資料接口訊息庫|F|F|8
ACC_IO_GB.DB|ACC_IO_GB|会计核算软件数据接口-国家标准|會計核算軟體數據接口-國家標準|T|F|6
ACCAREA_SGT.DB|ACCAREA_SGT|收货地区库|收貨地區庫|F|F|2
ACCN.DB|ACCN|会计科目库|會計科目庫|F|F|44
ACCN_BALANCE.DB|ACCN_BALANCE|科目期初结余档|科目期初結馀檔|T|F|38
ACCN_BALANCE_OBJ.DB|ACCN_BALANCE_OBJ|对象别科目期初结余档|對象別科目期初結馀檔|T|F|39
ACCN_CGP.DB|ACCN_CGP|会计科目与集团科目对应设置库|會計科目與集團科目對應設定庫|T|F|3
ACCN_DEL.DB|ACCN_DEL|会计科目-删除库|會計科目-刪除庫|T|F|2
ACCN_DEP.DB|ACCN_DEP|会计科目部门设定库|會計科目部門設定庫|T|F|3
ACCN_KND.DB|ACCN_KND|会计科目类别|會計科目類別|T|F|2
ACCN_QUICKTEMP.DB|ACCN_QUICKTEMP|会计科目快速模板|會計科目快速模板|T|F|3
ACCN_STD.DB|ACCN_STD|标准会计科目档|標準會計科目檔|T|F|21
ACCRPT_CUR.DB|ACCRPT_CUR|合并报表集团公司币别换算表|合併報表集團公司幣別換算表|T|F|4
ACCRPT_DEAL_CHK.DB|ACCRPT_DEAL_CHK|集团内部交易往来核对库|集團內部交易往來核對庫|T|F|32
ACCRPT_DEAL_DET.DB|ACCRPT_DEAL_DET|集团内部交易往来明细库|集團內部交易往來明細庫|T|F|27
ACCRPT_DEAL_OFS.DB|ACCRPT_DEAL_OFS|集团内部交易往来抵销库|集團內部交易往來抵銷庫|T|F|22
ACCRPT_DEAL_SUM.DB|ACCRPT_DEAL_SUM|集团内部交易往来汇总库|集團內部交易往來匯總庫|T|F|34
ACCRPT_DEAL_SUM_R.DB|ACCRPT_DEAL_SUM_R|集团内部交易往来（上报）|集團內部交易往來（上報）|T|F|33
ACCRPT_EQU_DET.DB|ACCRPT_EQU_DET|被投资公司股权变动明细库|被投資公司股權變動明細庫|T|F|10
ACCRPT_EQU_SUM.DB|ACCRPT_EQU_SUM|被投资公司股权变动主库|被投資公司股權變動主庫|T|F|12
ACCRPT_EXC.DB|ACCRPT_EXC|合并报表汇率表|合併報表匯率表|T|F|19
ACCRPT_FILTER.DB|ACCRPT_FILTER|集团内部报表过滤信息库|集團內部報表過濾訊息庫|T|F|15
ACCRPT_PAPERS_DET.DB|ACCRPT_PAPERS_DET|合并工作底稿明细库|合併工作底稿明細庫|T|F|6
ACCRPT_PAPERS_SUM.DB|ACCRPT_PAPERS_SUM|合并工作底稿库|合併工作底稿庫|T|F|10
ACCRPT_PRDT_DET.DB|ACCRPT_PRDT_DET|集团公司货品明细库|集團公司貨品明細庫|T|F|19
ACCRPT_PRDT_SUM.DB|ACCRPT_PRDT_SUM|集团公司货品结余库|集團公司貨品結馀庫|T|F|23
ACCRPT_PRDT_SUM_R.DB|ACCRPT_PRDT_SUM_R|集团公司货品结余（接收）|集團公司貨品結馀（接收）|T|F|22
ACCRPT_RCV.DB|ACCRPT_RCV|集团报表接收记录库|集團報表接收記錄庫|T|F|8
ACCRPT_RPT.DB|ACCRPT_RPT|集团报表上报记录库|集團報表上報記錄庫|T|F|11
ACCRPT_SPECIFIC.DB|ACCRPT_SPECIFIC|集团公司个别报表库|集團公司個別報表庫|T|F|23
ACCRPT_SPECIFIC_R.DB|ACCRPT_SPECIFIC_R|集团公司个别报表库（上报）|集團公司個別報表庫（上報）|T|F|22
ACCRPT_SY.DB|ACCRPT_SY|损益表资料库|損益表資料庫|T|F|16
ACCRPT_YY.DB|ACCRPT_YY|营运部门试算表|營運部門試算表|T|F|12
ACCRPT_ZCFZ.DB|ACCRPT_ZCFZ|资产负债表资料库|資產負債表資料庫|T|F|17
ACLS.DB|ACLS|关帐日设定库|關帳日設定庫|F|F|3
ACT_FILE.DB|ACT_FILE|工作活动附件库|工作活動附件庫|T|F|6
ACT_INDX.DB|ACT_INDX|工作活动类别库|工作活動類別庫|T|F|3
