BIL_ID|MTYPE|ITM|ITM1|OS_ID|FLAG
------|-----|---|----|-----|----
BN|PO|9|1||0
BN|PO|9|2|PO|0
CK|SA|4|1||0
CK|SA|4|2|SO|0
CK|SA|4|3|LN|0
CK|SA|4|4|SA|1
CK|SA|4|5|SB|1
CK|SA|4|6|FH|0
CK|SA|4|7|OM|2
CK|SA|4|8|YX|1
DM|MO|6|1||1
DM|MO|6|2|MO|1
DM|MO|6|3|TZ|1
DM|MO|6|4|TW|1
DS|KC|1|1||0
DS|KC|1|2|MO|1
DS|KC|1|3|TZ|1
DS|KC|1|4|TW|1
DS|KC|1|5|SO|1
FH|SA|6|1|SO|0
IB|KC|9|1||2
IB|KC|9|2|YI|2
IC|KC|2|1||0
IC|KC|2|2|ID|0
IC|KC|2|3|DS|1
IC|KC|2|4|IC|2
IM|KC|10|1||2
IM|KC|10|2|SO|2
IO|KC|8|1||2
IO|KC|8|2|SO|2
KB|SA|5|1||0
KB|SA|5|2|CK|0
LN|SA|10|1||0
LN|SA|10|2|SO|0
M2|MT|5|1|MO|2
M2|MO|8|1|MO|1
M2|MO|8|2|TZ|1
M2|MO|8|3|Q2|1
M3|MT|6|1|MO|2
M3|MO|9|1|MO|1
M3|MO|9|2|TZ|1
M3|MO|9|3|Q3|1
M4|TW|4|1|TW|0
M4|TW|4|2|Q4|1
M5|TW|5|1|TW|0
M5|TW|5|2|Q5|1
M6|TW|6|1|TW|0
M6|TW|6|2|Q6|1
MB|MO|13|1||1
MB|MO|13|2|MO|1
MB|MO|13|3|SO|1
MB|MO|13|4|JH|1
MC|MO|11|1||1
MC|MO|11|2|MO|1
MC|MO|11|3|TZ|1
MC|MO|11|4|TW|1
MC|MO|11|5|DM|1
MD|MO|14|1||1
MD|MO|14|2|M2|0
MD|MO|14|3|M5|0
MF|MO|2|1||1
MF|MO|2|2|SO|1
MF|MO|2|3|JH|1
ML|MT|4|1|MO|2
ML|MO|7|1|MO|1
ML|MO|7|2|TZ|1
ML|MO|7|3|QL|1
MM|MT|7|1|MO|2
MO|MO|1|1||0
MO|MO|1|2|SO|0
MO|MO|1|3|JH|0
MO|MO|1|4|SB|0
MO|MT|3|1||2
MO|MT|3|2|SO|2
NL|MO|10|1|MO|1
NL|MO|10|2|TZ|1
NL|MO|10|3|TW|1
NL|MO|10|4|QL|1
NL|MO|10|5|Q4|1
OD|MT|14|1||2
OD|MT|14|2|OI|2
OI|MT|13|1||2
OI|MT|13|2|SA|2
OT|MT|10|1||2
OT|MT|10|2|MA|2
OT|MT|10|3|QA|2
OW|MT|12|1||2
OW|MT|12|2|OT|2
PB|PO|5|1||0
PB|PO|5|2|PC|0
PC|PO|4|1||0
PC|PO|4|2|PO|0
PC|PO|4|3|BN|0
PC|PO|4|4|ZG|0
PC|PO|4|5|SL|1
PC|PO|4|6|PB|1
PC|PO|4|7|SA|0
PD|PO|6|1||0
PD|PO|6|2|PC|0
PO|PO|3|1||0
PO|PO|3|2|QS|0
PO|PO|3|3|SQ|0
PO|PO|3|4|QG|1
PO|PO|3|5|SO|0
PO|PO|3|6|JH|1
PO|PO|3|7|SA|0
Q2|MO|4|1|MO|1
Q2|MO|4|2|TZ|1
Q3|MO|5|1|MO|1
Q3|MO|5|2|TZ|1
QC|SA|1|1||0
QC|SA|1|2|QB|0
QC|SA|1|3|BF|1
QL|MO|3|1|MO|1
QL|MO|3|2|TZ|1
QS|PO|1|1||0
QS|PO|1|2|SQ|0
QS|PO|1|3|QG|1
RR|MT|2|1||2
RR|MT|2|2|RV|2
RV|MT|1|1||2
RV|MT|1|2|MA|2
SA|SA|7|1||0
SA|SA|7|2|SO|0
SA|SA|7|3|LN|0
SA|SA|7|4|CK|0
SA|SA|7|5|PC|1
SA|SA|7|6|SB|0
SA|SA|7|7|FH|0
SA|SA|7|8|OM|2
SA|SA|7|9|CH|2
SB|SA|8|1||0
SB|SA|8|2|SA|0
SB|SA|8|3|YX|0
SB|SA|8|4|PB|2
SB|SA|8|5|OP|2
SD|SA|9|1||0
SD|SA|9|2|SA|0
SD|SA|9|3|YX|2
SL|PO|10|1|PO|1
SL|PO|10|2|TW|1
SO|SA|2|1||0
SO|SA|2|2|QC|0
SO|SA|2|3|JH|1
SO|SA|2|4|YC|0
SO|SA|2|5|YN|0
SO|SA|2|6|YH|0
SO|SA|2|7|RV|2
SO|SA|2|8|PO|2
SO|SA|2|9|MA|2
SO|SA|2|10|EA|2
SO|SA|2|11|OR|2
SO|SA|2|12|CH|2
SQ|PO|2|1||0
SQ|PO|2|2|SO|0
SQ|PO|2|3|YQ|1
SR|SA|3|1||0
SR|SA|3|2|SO|0
T2|QC|2|1||1
T2|QC|2|2|CK|1
T4|QC|3|1||0
T4|QC|3|2|SA|0
T4|QC|3|3|YX|0
T6|MT|8|1|MO|2
T7|QC|5|1|TW|1
T7|QC|5|2|SL|1
T8|QC|7|1|MO|1
T8|QC|7|2|TZ|1
