TabName|Src
-------|---
ABGT|DATAEX_MF
ABGT1|DATAEX_MF
ACCN|DATAEX_MF
ASHR|DATAEX_MF
ASHR1|DATAEX_MF
BACC|DATAEX_MF
BANK|DATAEX_MF
BZPD|DATAEX_MF
BZPZ|DATAEX_MF
BZZL|DATAEX_MF
CARRY|DATAEX_MF
CASN|DATAEX_MF
CNTT_CHG_SGT|DATAEX_MF
CNTT_SGT|DATAEX_MF
COUPON|DATAEX_MF
CUST|DATAEX_MF
CUST_XYTZ|DATAEX_MF
CUS_PACT|DATAEX_MF
CUS_PACT1|DATAEX_MF
CUS_VISIT|DATAEX_MF
DEPT|DATAEX_MF
FAX_DATA|DATAEX_MF
INDX|DATAEX_MF
INV_NO|DATAEX_MF
INV_NO1|DATAEX_MF
KHTS_QA|DATAEX_MF
LC_CLN|DATAEX_MF
MF_ABGT|DATAEX_MF
MF_AC|DATAEX_MF
MF_AESC|DATAEX_MF
MF_AJ|DATAEX_MF
MF_APS_WD|DATAEX_MF
MF_BAC|DATAEX_MF
MF_BAR|DATAEX_MF
MF_BD|DATAEX_MF
MF_BDFP|DATAEX_MF
MF_BDS|DATAEX_MF
MF_BG|DATAEX_MF
MF_BG_MOD|DATAEX_MF
MF_BIL|DATAEX_MF
MF_BJ|DATAEX_MF
MF_BJFX_ZS|DATAEX_MF
MF_BLN|DATAEX_MF
MF_BL_FCP|DATAEX_MF
MF_BOM|DATAEX_MF
MF_BOM_SGT|DATAEX_MF
MF_BOM_SO|DATAEX_MF
MF_BOOK_HZYQ|DATAEX_MF
MF_BX|DATAEX_MF
MF_BYJL|DATAEX_MF
MF_BZ|DATAEX_MF
MF_CB|DATAEX_MF
MF_CBAC|DATAEX_MF
MF_CG|DATAEX_MF
MF_CGB|DATAEX_MF
MF_CG_FX|DATAEX_MF
MF_CH|DATAEX_MF
MF_CHG|DATAEX_MF
MF_CHK|DATAEX_MF
MF_CHK1|DATAEX_MF
MF_CK|DATAEX_MF
MF_CLS|DATAEX_MF
MF_CLS_HK|DATAEX_MF
MF_CS|DATAEX_MF
MF_CUT|DATAEX_MF
MF_CV|DATAEX_MF
