MODULANAME|RPTFILENAME|FieldCnt
----------|-----------|--------
NULL|NULL|363
NULL|;ACCAB;|1
NULL|;ACCAD;ACCCEB;WAGDJ;|1
NULL|;ACCAOA;ACCCGB;ACCCEB;ACCCCB;ACCAA;ACCAB;ACCCFB;ACCCDB;FASEH4;|1
NULL|;ACCBA;FASEH4;|1
NULL|;ACCBA;FASEH4;MONEO2;MONEN2;FASEA4;FASED1;FASECB;FASECA;FASEB2;WAGAA;FIXAA;FIXAA1;FASECF;|1
NULL|;ACCCAB;WAGDI;|5
NULL|;ACCCCB;MONAL;ACCCGB;ACCCAC;ACCCAD;ACCCAE;|1
NULL|;ACCCGB;ACCCIB;ACCCEB;ACCCCB;ACCCHB;ACCCFB;ACCCDB;WAGAA;MRPBEA1;|1
NULL|;ACCCHB;ACCCIB;WAGFC;MONAL;OUTPI;|1
NULL|;ACCCIB;ACCCFB;ACCCHB;WAGDE;|1
NULL|;ACCCIB;ACCCHB;MONAL;OUTPI;MRPFL;MRPFM;MRPFN;MRPFO;MRPBEA1;|1
NULL|;ACCCIB;MRPBC;ACCCHB;MRPBEA1;|1
NULL|;ACCCM;FASECA;FASECF;MRPED;MRPFL;MRPFM;MRPFN;MRPFO;MRPFK;|1
NULL|;ACCCM;INVAB;|1
NULL|;ACCCM;WAGFD;|2
NULL|;ELSEA;|1
NULL|;ELSEA;MRPBEA1;|1
NULL|;FASCA;FASECA;|1
NULL|;FASCHK66;|1
NULL|;FASEA4;|8
NULL|;FASEA4;WAGAA;|1
NULL|;FASEB2;|13
NULL|;FASEB2;ACCAB;|1
NULL|;FASEB2;MONAL;|1
NULL|;FASECA;|7
NULL|;FASECA;MONAL;|1
NULL|;FASECA;MRPFK;|1
NULL|;FASECB;|8
NULL|;FASECB;INVAB;|1
NULL|;FASECC5;|9
NULL|;FASECC5;MRPAB;|2
NULL|;FASECF;|11
NULL|;FASED1;MRPBEA1;|1
NULL|;FASEH4;|7
NULL|;FASEH4;ACCBA;|1
NULL|;INVAF;|3
NULL|;INVBA;INVBB;INVBC;INVCA;INVCB;INVCC;WAGFC;|2
NULL|;INVBA;INVCA;MONAA;MONAN;MONBN;|2
NULL|;INVBE;INVBD;INVCE;INVCD;INVAF;INVAG;INVAD;INVAE;INV_NO;MRPBE;WAGDH;WAGDJ;|1
NULL|;INVBZ;|1
NULL|;INVCA;|1
NULL|;INVCA;OUTPI;|1
NULL|;INVCM;|10
NULL|;INVDB;WAGDI;|1
NULL|;INVDD;INVDE;MRPAE;|1
NULL|;INVDD;MRPAE;|4
NULL|;INVFC;WAGDJ;FASEA4;WAGAA;|1
NULL|;INVIC;|1
NULL|;INV_NO;|1
NULL|;INV_NO;TAXDGA;TAXDGB;|1
NULL|;MONAA;FIXBB;|1
NULL|;MONAA;MONAB;MONBR;|1
NULL|;MONAA;MONAN;MONBN;MONBR;|1
NULL|;MONAA;MONBR;|5
NULL|;MONAA;WAGFD;MONBR;|1
NULL|;MONAB;|1
NULL|;MONAL;ACCCGB;ACCCEB;ACCCCB;ACCCFB;ACCCDB;|1
NULL|;MONAL;MONAA;MONBA;MONAC;MONBR;MONBN;|1
NULL|;MONAL;MONAA;MONBR;|1
NULL|;MONAL;MONCC1;MONCC2;WAGCD;|1
NULL|;MONAN;|1
NULL|;MONCB1;BBB;|1
NULL|;MONCB1;MONCB;MRPEE;MRPAC;MONCA;|1
NULL|;MONCB;|2
NULL|;MONCB;WAGDH;|3
NULL|;MONEN2;FASECB;|2
NULL|;MONEN2;WAGAA;BBB;TAXDJ;|1
NULL|;MONEXR;|1
NULL|;MRPAB;|2
NULL|;MRPAZ;|1
NULL|;MRPBE;|1
NULL|;MRPBG;MRPAF;MRPBC;MRPPU;FASECF;|1
NULL|;MRPBL;|1
NULL|;MRPBP;|1
NULL|;MRPBP;INVIC;|1
NULL|;MRPEB;MRPED;MRPEE;MRPAC;MRPEG;FASECF;|1
NULL|;MRPEF;MONCA;|1
NULL|;OUTPI;|9
NULL|;SVSDD;|1
NULL|;TAXDH;OUTPI;INVCM;INVCB;|1
NULL|;WADGE;|1
NULL|;WAGAA;|6
NULL|;WAGCD;|9
NULL|;WAGCH;|2
NULL|;WAGCH;FIXAA1;|2
NULL|;WAGDE;|5
NULL|;WAGDG;OUTPI;|1
NULL|;fasea4;|1
NULL|ACC|1
NULL|FASCHK15|1
NULL|FASCHK15;|9
NULL|INV|1
NULL|INVAC;INVAB;INVAF;INVAD;INVBA;INVBB;INVBC;INVBD;INVBE;INVCA;INVCB;INVCC;INVCD;INVCE;OUTPI;|1
NULL|OUTPI|1
NULL|POSAD|1
NULL|SALCONF|1
NULL|SGTDA;SGTDB|1
NULL|SVSDD|24
ACC|NULL|33
ACC|;ACCAA;|12
ACC|;ACCAA;ACCAB;ACCAOA;|6
ACC|;ACCAB;|63
ACC|;ACCAB;ACCAA;ACCA;|1
ACC|;ACCAB;ACCAA;ACCAO;|4
ACC|;ACCAB;ACCAOA|1
ACC|;ACCAB;ACCAOA;|2
ACC|;ACCAD;|16
ACC|;ACCAOA;|4
ACC|;ACCBA;|7
ACC|;ACCCAB;|46
ACC|;ACCCAC;ACCCAD;ACCCAE;|9
ACC|;ACCCAD;|40
ACC|;ACCCCB;|22
ACC|;ACCCCB;ACCCAC;ACCCAD;ACCCAE;|4
ACC|;ACCCCB;ACCCEB;ACCCGB;ACCCHB;ACCCIB;|1
ACC|;ACCCCB;ACCCGB;|2
ACC|;ACCCCB;ACCCGB;ACCCAC;ACCCAD;ACCCAE;|1
ACC|;ACCCCB;ACCCGB;ACCCIB;ACCCHB;|1
ACC|;ACCCCQ;|2
ACC|;ACCCDB;|25
ACC|;ACCCDB;ACCAB;|2
ACC|;ACCCEB;|21
ACC|;ACCCEB;ACCCFB;ACCCDB;|1
ACC|;ACCCFB;|22
ACC|;ACCCFB;ACCAB;|1
ACC|;ACCCGB;|28
ACC|;ACCCGB;ACCCCB;|1
ACC|;ACCCGB;ACCCCB;ACCAB;|2
ACC|;ACCCGB;ACCCCB;ACCCEB;|2
ACC|;ACCCGB;ACCCDB;ACCCFB;ACCCEB;ACCCCB;|1
ACC|;ACCCGB;ACCCFB;ACCCCB;ACCCHB;|1
ACC|;ACCCGB;ACCCIB;ACCCCB;ACCCFB;|1
ACC|;ACCCGB;ACCCIB;ACCCCB;ACCCHB;|1
ACC|;ACCCGB;ACCCIB;ACCCEB;ACCCCB;ACCCHB;|1
ACC|;ACCCGB;ACCCIB;ACCCEB;ACCCCB;ACCCHB;ACCCFB;ACCCAC;ACCCAD;ACCCAE;|2
ACC|;ACCCGB;ACCCIB;ACCCEB;ACCCCB;ACCCHB;ACCCFB;ACCCDB;|1
ACC|;ACCCGB;ACCCIB;ACCCEB;ACCCCB;ACCCHB;ACCCFB;ACCCDB;ACCCAC;ACCCAD;ACCCAE;|1
ACC|;ACCCHB;|27
ACC|;ACCCIB;|23
ACC|;ACCCIB;ACCCHB;|11
ACC|;ACCCL;|2
ACC|;ACCCM;|11
ACC|;ACCCM;ACCCDB;|3
ACC|;ACCDA;|10
ACC|;ACCDA;MRPBP;|1
ACC|;BUG;|10
ACC|;FASEA4;|1
ACC|ACCCAC;ACCCAD;ACCCAE;|2
ELS|;ELSEA;|21
FAS|;FASEA4;|19
FAS|;FASEA4;FASECA;|1
FAS|;FASEB2;|14
FAS|;FASEB2;FASEA4;|2
FAS|;FASECA;|20
FAS|;FASECB;|7
FAS|;FASED1;|1
FAS|;FASEH4;|7
FAS|;FASEH4;FASED1;|2
FIX|NULL|33
FIX|;FIXAA1;|4
FIX|;FIXAA;|11
FIX|;FIXAA;FIXAA1;|1
FIX|;FIXBB;|16
FIX|FIXAA|1
INV|NULL|348
INV|;ACCCGB;|1
INV|;INVAB;|34
INV|;INVAB;INVAC;|13
INV|;INVAB;INVCA;|1
INV|;INVAC;|48
INV|;INVAC;INVAB;|7
INV|;INVAD;|25
INV|;INVAE;|14
INV|;INVAE;INVAF;INVAG;|1
INV|;INVAF;|26
INV|;INVAF;INVAB;INVAC;INVAD;INVAE;|1
INV|;INVAF;INVAD;|8
INV|;INVAF;INVAG;|1
INV|;INVAF;INVAG;INVAD;INVAE;|5
INV|;INVAG;|15
INV|;INVBA;|28
INV|;INVBA;INVAF;INVAB;INVAC;INVCA;|1
INV|;INVBA;INVBB;INVBC;INVCA;INVCB;INVCC;|15
INV|;INVBA;INVBB;INVBC;INVCA;INVCB;INVCC;INVAF;|1
INV|;INVBA;INVBB;INVBC;INVCA;INVCB;INVCC;INVAF;INVCM;|1
INV|;INVBA;INVCA;|6
INV|;INVBA;INVCA;INVAD;|1
INV|;INVBA;INVCA;INVBD;INVCD;INVAD;|1
INV|;INVBB;|10
INV|;INVBC;|10
INV|;INVBD;|25
INV|;INVBD;INVCD;|1
INV|;INVBE;|20
INV|;INVBE;INVBD;INVCE;|1
INV|;INVBE;INVBD;INVCE;INVCD;|12
INV|;INVBE;INVCE;|4
INV|;INVBZ;|2
INV|;INVCA;|53
INV|;INVCA;INVAD;|1
INV|;INVCA;INVCC;|1
INV|;INVCA;INVCM;|1
INV|;INVCAA;|5
INV|;INVCB;|10
INV|;INVCB;INVCC;|1
INV|;INVCC;|8
INV|;INVCD;|24
INV|;INVCE;|28
INV|;INVCM;|2
INV|;INVCQ;|10
INV|;INVCQ;INVFP;|2
INV|;INVDB2;|9
INV|;INVDB;|27
INV|;INVDB;INVCA;|1
INV|;INVDB;INVDB2;|1
INV|;INVDBC;|3
INV|;INVDC;|3
INV|;INVDD;|11
INV|;INVDD;INVDE;|2
INV|;INVDE;|13
INV|;INVDE;INVDB;|1
INV|;INVIB;|4
INV|;INVIC;|13
INV|;INVTRDB;|12
INV|;INV_NO;|10
INV|;INV_NO;INVCM;|1
INV|;MRPBL;|1
INV|;invad;|1
INV|INVAB;INVAC;|1
LSH|POSAC|1
LSH|POSAD|1
LSH|POSDB|1
LSH|POSFF|1
LSH|POSFG|1
LSH|POSFH|1
MNG|NULL|1
MON|NULL|237
MON|;MONAA;|48
MON|;MONAA;MONAB;|2
MON|;MONAA;MONAN;MONBN;|1
MON|;MONAA;MONAN;MONBN;MONAB;|5
MON|;MONAL;|59
MON|;MONAL;MONBN;|1
MON|;MONAL;MONEO2;|1
MON|;MONAL;MONEXP;MONEXR;|1
MON|;MONAN;MONBN;|3
MON|;MONAN;MONBN;MONAB;|1
MON|;MONCA;|21
MON|;MONCA;MONCB;|2
MON|;MONCB1;|7
MON|;MONCB1;MONCB;MONCA;|1
MON|;MONCB;|13
MON|;MONCL;|3
MON|;MONDA;|1
MON|;MONDCA;MONDCB;|5
MON|;MONDCB;|1
MON|;MONEN2;|8
MON|;MONEO2;|25
MON|;MONEO2;MONEN2;|2
MON|;MONEXP;|6
MON|;MONEXR;|20
MON|;MONEXR;MONEXP;|5
MRP|NULL|205
MRP|;MRPAB2;|3
