Menus|Forms|Mods|Dlls
-----|-----|----|----
2619|2489|18|61
MENU_NAME|PARENT_MENU|MOD_NAME|FORM_NAME|LINK_TYPE
---------|-----------|--------|---------|---------
|NULL|Sun|DrFasForm|NULL
|NULL|Sun|HotLineForm|NULL
|NULL|SUN|Sun_SdkForm|NULL
|NULL|Sun|MemoForm|NULL
AAAA|;AAA;AA;|Tax|TaxCAForm|BILL
AAAB|;AAA;AA;|Tax|TAXADForm|BILL
AAAC|;AAA;AA;|Tax|TAXABForm|BILL
AAAD|;AAA;AA;|Tax|TAXDQForm|BILL
AAB|;AA;|Tax|TaxCBForm|
AAC|;AA;|Inv|InvBAForm|BILL
AAD|;AA;|Tax|taxbeform|REPORT
AAE|;AA;|Tax|TAXEFFORM|
AAF|;AA;|Tax|TAXCFFORM|
AAG|;AA;|Tax|TAXEGForm|
AAH|;AA;|Tax|TaxCIForm|BILL
ABA|;AB;|Tax|TaxBAForm|BILL
ABB|;AB;|Tax|TaxBCForm|BILL
ABC|;AB;|Tax|TAXDEForm|BILL
ABD|;AB;|Tax|TaxBBForm|
ABE|;AB;|Inv|InvCAForm|BILL
