表名,中文名,角色,总行数,可迁移行数,确认(保留/剔除),备注
CUST,客户/厂商库,主数据,38,38,,
DEPT,部门代号库,主数据,11,11,,
INDX,中类资料库,主数据,15,15,,
MF_BG,采购/受订变更作业表头库,表头,5,5,,
MF_BOM,Mrp商品物料表表头档,表头,5755,5755,,
MF_CS,生产变更单主库,表头,11,11,,
MF_DA,订单变更分析表头档,表头,2,2,,
MF_HJ,核价单表头资料库,表头,1,1,,
MF_IJ,调整主库,表头,32,32,,
MF_JH,生产计划单表头档,表头,1,1,,
MF_ML,领料单表头档,表头,18,18,,
MF_MM0,缴库单表头,表头,16,16,,
MF_MO,Mrp制令单表头档,表头,80,80,,
MF_MP,生产需求/计划分析表头档,表头,17,17,,
MF_POS,采购受订表头档,表头,42,42,,
MF_PSS,进销货表头档,表头,29,29,,
MF_SQ,请购单表头资料库,表头,10,10,,
MF_TB,托外加工缴回单表头档,表头,49,49,,
MF_TC,托外加工退回单表头,表头,1,1,,
MF_TI,入库单表头,表头,1,1,,
MF_TW,托外加工单表头档,表头,54,54,,
MF_WT,批次托工单表头,表头,2,2,,
MF_YG,人事薪资主库,表头,44,44,,
MY_WH,库位库,主数据,9,9,,
PRDT,货品基础资料库,主数据,10100,10100,,
SALM,业务员资料档,主数据,46,46,,
TF_BG,采购/受订变更作业表身库,表身,5,5,,
TF_BOM,Mrp商品物料表表身档,表身,9384,9384,,
TF_CS,生产变更作业明细库,表身,12,12,,
TF_HJ,核价单表身资料库,表身,1,1,,
TF_IJ,调整表身档,表身,1361,1361,,
TF_JH,生产计划单表身档,表身,1,1,,
TF_ML,领料单表身档,表身,67,67,,
TF_MM0,缴库单表身,表身,66,66,,
TF_MO,制令单表身,表身,59,59,,
TF_MP1,库存不足量需求库,表身,212,212,,
TF_POS,采购受订表身档,表身,93,93,,
TF_PSS,进/销/退/折表身档,表身,72,72,,
TF_SQ,请购单表身资料库,表身,26,26,,
TF_TB,托外加工缴回单表身档,表身,50,50,,
TF_TC,托外加工退回单表身,表身,1,1,,
TF_TI,入库单表身,表身,1,1,,
TF_TW,托外加工单表身档,表身,65,65,,
UP_DEF,定价政策,主数据,2,2,,
