TableName|column_id|ColName|DataType|max_length|precision|scale|is_nullable
---------|---------|-------|--------|----------|---------|-----|-----------
ADR_CITY|1|CITY_ID|int|4|10|0|0
ADR_CITY|2|NAME|varchar|100|0|0|1
ADR_CITY|3|PROV_ID|int|4|10|0|1
ADR_COT|1|COT_ID|int|4|10|0|0
ADR_COT|2|NAME|varchar|50|0|0|1
ADR_COUN|1|COUN_ID|int|4|10|0|0
ADR_COUN|2|NAME|varchar|20|0|0|1
ADR_COUN|3|CITY_ID|int|4|10|0|1
ADR_PROV|1|PROV_ID|int|4|10|0|0
ADR_PROV|2|NAME|varchar|20|0|0|1
ADR_PROV|3|COT_ID|int|4|10|0|1
ADR_PROV|4|REM|text|16|0|0|1
BAR_PSWD_PROP|1|COMPNO|varchar|4|0|0|0
BAR_PSWD_PROP|2|ROLENO|varchar|12|0|0|0
BAR_PSWD_PROP|3|TYPE_ID|varchar|1|0|0|0
BAR_PSWD_PROP|4|PGM|varchar|20|0|0|0
BAR_PSWD_PROP|5|FLD_NAME|varchar|40|0|0|0
BAR_PSWD_PROP|6|FLD_VALUE|varchar|8000|0|0|1
BIL_LC|1|MTYPE|varchar|2|0|0|0
BIL_LC|2|ITM|int|4|10|0|0
BIL_LC|3|BIL_ID|varchar|2|0|0|0
BIL_LC|4|ITM1|int|4|10|0|0
BIL_LC|5|OS_ID|varchar|2|0|0|0
BIL_LC|6|FLAG|int|4|10|0|1
BUGT|1|ISDATE|datetime|8|23|3|1
BUGT|2|ISFORM|varchar|12|0|0|1
BUGT|3|ISCLASS|varchar|15|0|0|1
BUGT|4|USERID|varchar|18|0|0|1
BUGT|5|USERNAME|varchar|100|0|0|1
BUGT|6|COMPANY|varchar|60|0|0|1
BUGT|7|COMP_NO|varchar|8|0|0|1
BUGT|8|ISMESSAGE|varchar|120|0|0|1
COMP|1|COMPNO|varchar|4|0|0|0
COMP|2|DEP|varchar|8|0|0|0
COMP|3|NAME|varchar|60|0|0|1
COMP|4|ISSQL|varchar|1|0|0|1
COMP|5|CMP_ZIP|varchar|6|0|0|1
COMP|6|RUN_ZIP|varchar|6|0|0|1
COMP|7|BOS_ZIP|varchar|6|0|0|1
COMP|8|CMP_ADR|text|16|0|0|1
COMP|9|RUN_ADR|text|16|0|0|1
COMP|10|BOS_ADR|text|16|0|0|1
COMP|11|ADR_E|text|16|0|0|1
COMP|12|TEL1|varchar|20|0|0|1
COMP|13|TEL2|varchar|20|0|0|1
COMP|14|TEL3|varchar|20|0|0|1
COMP|15|REM|text|16|0|0|1
COMP|16|KND_NO|varchar|6|0|0|1
COMP|17|ARE_TAX|varchar|30|0|0|1
COMP|18|UNI_NO|varchar|20|0|0|1
COMP|19|NO_TAX|varchar|20|0|0|1
