MENU_NAME|BIL_ID|REM|MF_TABLE|TF_TABLE|MOD_NAME|BIL_TYPE
---------|------|---|--------|--------|--------|--------
|B3|包装类型设定(兆吉)|BZZL|BZPZ|OTH|
|CD|办公物品领用|MF_GUIDE|TF_GUIDE||
|CI|在制品存货评价|OT_MF_CI|OT_TF_CI|OTH|
|CQ|10号材料未跌价分析|OT_MF_CQ|OT_TF_CQ|OTH|
|CX|材料存货评价分析|OT_MF_CX|OT_TF_CX|OTH|
|CY|成品存货评价分析|OT_MF_CY|OT_TF_CY|OTH|
|DI|固定及实际费用差异表|OT_MF_DIFF|OT_TF_DIFF|OTH|
|GP|批次派工单|MF_SCPG|TF_SCPG|MNU|MO
ABC|DQ|百货业编码|MF_DP|TF_DP||NULL
ATTN06|PE|问题报告单|MF_PR|TF_PR|OTH|
ATTN07|SE|业务月奖金|MF_SM|TF_SM|WAG|
AccAA|VA|审核凭证|VHED|VDTL|ACC|NULL
AccAB|VD|抵销凭证|VHED|VDTL|ACC|
AccAB|VF|现金付款|VHED|VDTL|ACC|
AccAB|VG|更正凭证|VHED|VDTL|ACC|
AccAB|VH|一般凭证|VHED|VDTL|ACC|NULL
AccAB|VS|现金收款|VHED|VDTL|ACC|
AccAB|VT|调整凭证|VHED|VDTL|ACC|
AccAB|VZ|转帐凭证|VHED|VDTL|ACC|
AccAB|YF|银行付款|VHED|VDTL|ACC|
AccAB|YS|银行收款|VHED|VDTL|ACC|
AccAB|MK|制票号码|VHED|VDTL|ACC|NULL
AccAD|16|科目预算输入|ABGT|ABGT1|ACC|
AccAJ|35|部门分摊主库|ASHR|ASHR1|ACC|
AccAJ_IFRS|36|部门分摊主库|ASHR|ASHR1|ACC|
AccAOA|MJ|开帐凭证|VHED|VDTL|ACC|NULL
AccAOA|VK|开帐凭证|VHED|VDTL|ACC|NULL
AccAP|FT|待摊费用分摊作业|MF_FT|TF_FT|ACC|NULL
AccAT|CJ|销售收入认列拆分处理|MF_SA_IFRS|TF_SA_IFRS|ACC|
AccAU|DY|年初递延收入录入作业|MF_DYSR|TF_DYSR|ACC|
AccAV|DV|递延收入回冲处理|MF_SA_IFRS|TF_SA_IFRS|ACC|
AccDA|CB|销货成本切制传票|MF_CB|TF_CB|ACC|NULL
AccDA_IFRS|C1|销货成本切制传票(IFRS)|MF_CB|TF_CB|ACC|
AccDC|AC|批次切制传票|MF_AC|TF_AC|ACC|NULL
AccDL|HC|进货逐单回冲|MF_HC|TF_HC|ACC|NULL
AccEN1|06|银行资料|BANK|||
AccEO1|07|帐户资料|BACC|||
AccGA1|09|工程案号设置|CASN|||
AccGCJZ|GC|工程成本结帐切制传|MF_GC|TF_GC|ACC|NULL
AccLD|AH|递延收入/成本回冲处理|MF_DYHC|TF_DYHC|ACC|
CRMQA|QA|客户问题处理|MF_QA|TF_QA||
CSNIY|IY|项目安装单|MF_IQTY|TF_IQTY||
CUST_COMPLAIN|AQ|客户投诉单|KHTS_QA||CRM|
CardMng|X1|忘打卡|TF_SKTZ||MNG|
CardMng|X2|未打卡|TF_SKTZ||MNG|
CustPact|NP|合约|CUS_PACT||CWK|
DRPB1|B1|条码打印作业|PRDT_BARCODE||INV|
DRPB2|B2|箱条码打印作业|PRDT_BARCODE_BOX||INV|
DRPBQ|BQ|箱条码打印-子项管理|PRDT_BARCODE_BOX|PRDT_BARBOX_SUB|INV|
DRPCH|CH|积分兑换记录|MF_JFCHG|TF_JFCHG|DRP|
DRPDJ|DJ|折扣卷|COUPON|||
DRPDO|DO|公文流转单据|MF_DOC|MF_DOC|DRP|NULL
DRPDZ|DZ|动态流程单号|MF_DTLC|TF_DTLC|DRP|
DRPEB|EB|外出单|MF_EG||WAG|
DRPFYSQ|HF|费用申请单|MF_FYSQ|TF_FYSQ||
DRPGW|GW|DRP出差申请单|MF_GW|TF_GW|WAG|
DRPHX|HX|费用核销单|MF_FYHX|TF_FYHX||
DRPIV|IV|客户拜访记录单|CUS_VISIT||CRM|
DRPJF|JF|积分|MF_JF||INV|
DRPOP|OP|配件退回申请单|MF_PJSQ|TF_PJSQ|INV|SA
DRPOR|OR|配件申请单|MF_PJSQ|TF_PJSQ|INV|SA
DRPOY|OY|超预算申请单|MF_DOY|TF_DOY||
DRPRG|RG|返利单|MF_RG|TF_RG|DRP|
DRPTT|TT|DRP批次调价单|MF_TT|TF_TT|INV|MO
