TabName|FLD_NO|FLD_NAME|FLD_TYPE|FLD_LEN|ISPK|NOTE|FK_TAB|FK_FIELD
-------|------|--------|--------|-------|----|----|------|--------
AAGBL_CUS1|1|CUS_NO|A|12|*|客户代号||
AAGBL_CUS1|2|BIL_TYPE|A|2|*|单据类别||
AAGBL_CUS1|3|PAY_MTH|A|2||交易方式||
AAGBL_CUS1|4|CHK_TYPE|A|2||审核单据类别||
ABGT|1|YEARS|S|NULL|*|年度|NULL|NULL
ABGT|2|DEP|A|8|*|部门代号|NULL|NULL
ABGT|3|CAS_NO|A|20|*|项目代号||
ABGT|4|TASK_ID|I|0|*|任务代号||
ABGT|5|REM|A|40||摘要||
ABGT|6|USR|A|12||录入员||
ABGT|7|SYS_DATE|@|0||SYS_DATE||
ABGT|8|CHK_MAN|A|12||审核人||
ABGT|9|CLS_DATE|@|0||终审日期||
ABGT|10|MOB_ID|A|2||审核模版||
ABGT|11|PRT_SW|A|1||打印注记||
ABGT|12|PRT_USR|A|12||打印人员||
ABGT|13|CPY_SW|A|1||拷贝注记(转入/转出)||
ABGT|14|PRT_DATE|@|0||打印日期||
ABGT_H|1|VERSION|A|15|*|版本|NULL|NULL
ABGT_H|2|YEARS|S|NULL|*|年度|NULL|NULL
ABGT_H|3|DEP|A|8|*|部门代号|NULL|NULL
ABGT_H|4|CAS_NO|A|20|*|项目代号||
ABGT_H|5|TASK_ID|I|0|*|任务代号||
ABGT_H|6|REM|A|40||备注||
ABGT_SEI|1|YEARS|S|0|*|年度||
ABGT_SEI|2|WORD_NO|A|100|*|片语||
ABGT_SEI|3|CUR_ID|A|4|*|币别||
ABGT_SEI|4|ITM|I|0|*|||
ABGT_SEI|5|AMTN1_1|N|0||一月第一区金额||
ABGT_SEI|6|AMTN1_2|N|0||一月第二区金额||
ABGT_SEI|7|AMTN1_3|N|0||一月第三区金额||
ABGT_SEI|8|AMTN2_1|N|0||二月第一区金额||
ABGT_SEI|9|AMTN2_2|N|0||二月第二区金额||
ABGT_SEI|10|AMTN2_3|N|0||二月第三区金额||
ABGT_SEI|11|AMTN3_1|N|0||三月第一区金额||
ABGT_SEI|12|AMTN3_2|N|0||三月第二区金额||
ABGT_SEI|13|AMTN3_3|N|0||三月第三区金额||
ABGT_SEI|14|AMTN4_1|N|0||四月第一区金额||
ABGT_SEI|15|AMTN4_2|N|0||四月第二区金额||
ABGT_SEI|16|AMTN4_3|N|0||四月第三区金额||
ABGT_SEI|17|AMTN5_1|N|0||五月第一区金额||
ABGT_SEI|18|AMTN5_2|N|0||五月第二区金额||
ABGT_SEI|19|AMTN5_3|N|0||五月第三区金额||
ABGT_SEI|20|AMTN6_1|N|0||六月第一区金额||
ABGT_SEI|21|AMTN6_2|N|0||六月第二区金额||
ABGT_SEI|22|AMTN6_3|N|0||六月第三区金额||
ABGT_SEI|23|AMTN7_1|N|0||7月第一区金额||
ABGT_SEI|24|AMTN7_2|N|0||7月第二区金额||
ABGT_SEI|25|AMTN7_3|N|0||7月第三区金额||
ABGT_SEI|26|AMTN8_1|N|0||八月第一区金额||
ABGT_SEI|27|AMTN8_2|N|0||八月第二区金额||
ABGT_SEI|28|AMTN8_3|N|0||八月第三区金额||
ABGT_SEI|29|AMTN9_1|N|0||九月第一区金额||
ABGT_SEI|30|AMTN9_2|N|0||九月第二区金额||
ABGT_SEI|31|AMTN9_3|N|0||九月第三区金额||
ABGT_SEI|32|AMTN10_1|N|0||十月第一区金额||
ABGT_SEI|33|AMTN10_2|N|0||十月第二区金额||
ABGT_SEI|34|AMTN10_3|N|0||十月第三区金额||
ABGT_SEI|35|AMTN11_1|N|0||十一月第一区金额||
ABGT_SEI|36|AMTN11_2|N|0||十一月第二区金额||
ABGT_SEI|37|AMTN11_3|N|0||十一月第三区金额||
ABGT_SEI|38|AMTN12_1|N|0||十二月第一区金额||
ABGT_SEI|39|AMTN12_2|N|0||十二月第二区金额||
ABGT_SEI|40|AMTN12_3|N|0||十二月第三区金额||
ABGT1|1|YEARS|S|NULL|*|年|NULL|NULL
ABGT1|2|DEP|A|8|*|部门代号|NULL|NULL
ABGT1|3|CAS_NO|A|20|*|项目代号||
ABGT1|4|TASK_ID|I|0|*|任务代号||
ABGT1|5|ACC_NO|A|20|*|会计科目||
ABGT1|6|ITM|I|0|*|项次||
ABGT1|7|AMT1|N|NULL|NULL|1月外币金额|NULL|NULL
ABGT1|8|AMT2|N|NULL|NULL|2月外币金额|NULL|NULL
ABGT1|9|AMT3|N|NULL|NULL|3月外币金额|NULL|NULL
ABGT1|10|AMT4|N|NULL|NULL|4月外币金额|NULL|NULL
ABGT1|11|AMT5|N|NULL|NULL|5月外币金额|NULL|NULL
ABGT1|12|AMT6|N|NULL|NULL|6月外币金额|NULL|NULL
ABGT1|13|AMT7|N|NULL|NULL|7月外币金额|NULL|NULL
ABGT1|14|AMT8|N|NULL|NULL|8月外币金额|NULL|NULL
ABGT1|15|AMT9|N|NULL|NULL|9月外币金额|NULL|NULL
ABGT1|16|AMT10|N|NULL|NULL|10月外币金额|NULL|NULL
ABGT1|17|AMT11|N|NULL|NULL|11月外币金额|NULL|NULL
ABGT1|18|AMT12|N|NULL|NULL|12月外币金额|NULL|NULL
ABGT1|19|AMTN1|N|NULL|NULL|1月本位币金额|NULL|NULL
ABGT1|20|AMTN2|N|NULL|NULL|2月本位币金额|NULL|NULL
ABGT1|21|AMTN3|N|NULL|NULL|3月本位币金额|NULL|NULL
ABGT1|22|AMTN4|N|NULL|NULL|4月本位币金额|NULL|NULL
ABGT1|23|AMTN5|N|NULL|NULL|5月本位币金额|NULL|NULL
