Tbl|Rows|TAB_TITLE|InActiveMeta|InDict
BILL_PROP_LOG|60687|ֵ춯|N|Y
BILL_PROP_BK|46690||N|N
BILL_PROP|45553|Ͽ|N|Y
SPC_PSWD_BK|12200||N|N
SPC_PSWD|11146|Ƶ|N|Y
PRDT|10100|ƷϿ|Y|Y
ping|9843||N|N
ping1|9843||N|N
A_PING_BOM|9843||N|N
TF_BOM|9384|MrpƷϱ|Y|Y
REPORTS|6075||N|Y
REPORTS_BK|5975||N|N
a_ping1|5793||N|N
MF_BOM|5755|MrpƷϱͷ|Y|Y
LAYOUT|4962|ϢϿ|N|Y
LAYOUT_BK|4847||N|N
TABLESRC|2214||N|N
TF_IJ|1361||Y|Y
BILN|625|ֹ|N|Y
TF_MP1_Z|497||N|N
PRDT1|440|Ʒֲֿ|Y|Y
PRDT_CUS1|340|Ʒͻ̹|N|Y
PRD_HIS_O|296|Ʒʷ۸|N|Y
TF_MM0_CASE|261|ɿⵥר|N|Y
BILN1|226|ſ|N|Y
TF_MP1|212|治|Y|Y
PRDT_CUS|178|Ʒͻ|Y|Y
DICT_SQL_DBLOG|151|DICT_SQLˢ¼¼()|N|Y
SH_PRDT1|133|δƷֲֿ|N|Y
PRD_HIS_I|121|Ʒʷ۸|N|Y
TF_MP3|114|Mrp콨|N|Y
TF_POS|93|ɹܶ|Y|Y
TF_POS_Z|83||Y|N
SETDEFVALUES|81|ͷλ趨ʼֵ|N|Y
MF_MO|80|Mrpͷ|Y|Y
TF_PSS|72|///۱|Y|Y
TF_PSS_Z|71||Y|N
TF_ML|67|ϵ|Y|Y
TF_MM0|66|ɿⵥ|Y|Y
TF_TW|65|ӹ|Y|Y
PRINT_DATA|64|ݴӡϢ¼|N|Y
TF_MO|59||Y|Y
SH_DJ|56|˵ݿ|N|Y
MF_TW|54|ӹͷ|Y|Y
TF_TB|50|ӹɻص|Y|Y
MF_TB|49|ӹɻصͷ|Y|Y
SALM|46|ҵԱϵ|Y|Y
SARP|44|Ӧո|N|Y
VIR_GRP|44|ȺϿ|N|Y
MF_YG|44|н|Y|Y
MF_POS|42|ɹܶͷ|Y|Y
DB_PSWD|42|PSWD DB|N|Y
SH_LIST|42|˹ϸ|N|Y
CUST|38|ͻ/̿|Y|Y
SYS_SHOW|37|ϵͳԤ|N|Y
TF_MP2|37|ɹƷ|N|Y
A_PING|35||N|N
MF_IJ|32||Y|Y
MF_PSS|29|ͷ|Y|Y
TF_SQ|26|빺Ͽ|Y|Y
CUS_WH|24|ͻ/̷ֲֿ|Y|Y
PRDT_DEL|23|Ʒ-ɾ|N|Y
RPT_DSC2|22|ⱨ|N|Y
TF_BGHIS|19|ɹ/ܶҵʷ|Y|Y
MF_ML|18|ϵͷ|Y|Y
DRP_PROP|18|DRP趨|N|Y
HYZL|17|ҵݿ|N|Y
MF_MP|17|/ƻͷ|Y|Y
MF_MM0|16|ɿⵥͷ|Y|Y
INDX|15|Ͽ|Y|Y
INDX_CHK|14||N|Y
TF_CS|12|ҵϸ|Y|Y
MF_CS|11||Y|Y
DEPT|11|Ŵſ|Y|Y
DEPT_CHK|10|Ź|N|Y
MF_SHLC|10|Ʊͷ|N|Y
MF_SQ|10|빺ͷϿ|Y|Y
TF_DA_MO_B|10|ݲϿ|N|Y
SH_USR|10|Ƶ˿ʹģ|N|Y
TF_SHLC|10|Ʊ|N|Y
PRDT_UT|9|Ʒλ|N|Y
MY_WH|9|λ|Y|Y
BILD|9|ɾϿ|N|Y
CUST_DEL|8|ͻ-ɾ|N|Y
MY_W_CHK|8|λ|N|Y
CUS_WH_DEL|6|ͳֲ-ɾ|N|Y
TF_DA_MO|6|ݿ|N|Y
TF_BG|5|ɹ/ܶҵ|Y|Y
FACE_EXP|5|Զֶιʽ|N|Y
MF_BG|5|ɹ/ܶҵͷ|Y|Y
FACE_EXP_BK|4||N|N
FACE_FLD|4|Զֵֶ|N|Y
FACE_FLD_BK|4||N|N
BIL_SPC|4|趨|Y|Y
BILTYPE_VOH|4|ƾ֤ģ趨Ͽ|N|Y
MYSQL|4|Զѯ|N|Y
RPT_GRP|4|ⱨϸ|N|Y
MF_NEEDFLD|3|ϱ¼ͷ|N|Y
SALM_DEL|3|ҵԱ-ɾ|N|Y
TF_MO_Z|3||N|N
TF_NEEDFLD|3|ϱ¼|N|Y
YG_MOBILE|3|ԱֻϢ|N|Y
UP_DEF|2||Y|Y
TF_DA_BG|2|ϸ|N|Y
TF_BG1|2|ɹ/ܶҵ(ͷ)|N|Y
MF_WT|2|йͷ|Y|Y
IJREASON|2|ԭ˵|Y|Y
MF_DA|2|ͷ|Y|Y
MF_HJ|1|˼۵ͷϿ|Y|Y
INDX1|1|ĿϿ|Y|Y
CSH_FRO|1|ֽԭ|N|Y
AREA|1||N|Y
DEPT_DEL|1|-ɾ|N|Y
MF_TC|1|ӹ˻صͷ|Y|Y
MF_TI|1|ⵥͷ|Y|Y
MF_JH|1|ƻͷ|Y|Y
PRDT_PIC|1|ƷͼƬ|N|Y
TF_BG1HIS|1|ɹ/ܶҵʷ(ͷ)|N|Y
TF_HJ|1|˼۵Ͽ|Y|Y
TF_JH|1|ƻ|Y|Y
TF_TC|1|ӹ˻ص|Y|Y
TF_TI|1|ⵥ|Y|Y
