Tbl|Total|EmptyRows|KeepRows
---|---:|---:|---:
CUST|38|0|38
DEPT|11|0|11
INDX|15|0|15
MF_BG|5|0|5
MF_BOM|5755|0|5755
MF_CS|11|0|11
MF_DA|2|0|2
MF_HJ|1|0|1
MF_IJ|32|0|32
MF_JH|1|0|1
MF_ML|18|0|18
MF_MM0|16|0|16
MF_MO|80|0|80
MF_MP|17|0|17
MF_POS|42|0|42
MF_PSS|29|0|29
MF_SQ|10|0|10
MF_TB|49|0|49
MF_TC|1|0|1
MF_TI|1|0|1
MF_TW|54|0|54
MF_WT|2|0|2
MF_YG|44|0|44
MY_WH|9|0|9
PRDT|10100|0|10100
SALM|46|0|46
TF_BG|5|0|5
TF_BOM|9384|0|9384
TF_CS|12|0|12
TF_HJ|1|0|1
TF_IJ|1361|0|1361
TF_JH|1|0|1
TF_ML|67|0|67
TF_MM0|66|0|66
TF_MO|59|0|59
TF_MP1|212|0|212
TF_POS|93|0|93
TF_PSS|72|0|72
TF_SQ|26|0|26
TF_TB|50|0|50
TF_TC|1|0|1
TF_TI|1|0|1
TF_TW|65|0|65
UP_DEF|2|0|2
