Tbl|Cnt
---|---
BILL_PROP_LOG|60687
BILL_PROP_BK|46690
BILL_PROP|45553
SPC_PSWD_BK|12200
SPC_PSWD|11146
PRDT|10100
ping|9843
ping1|9843
A_PING_BOM|9843
TF_BOM|9384
REPORTS|6075
REPORTS_BK|5975
a_ping1|5793
MF_BOM|5755
LAYOUT|4962
LAYOUT_BK|4847
TABLESRC|2214
TF_IJ|1361
BILN|625
TF_MP1_Z|497
PRDT1|440
PRDT_CUS1|340
PRD_HIS_O|296
TF_MM0_CASE|261
BILN1|226
TF_MP1|212
PRDT_CUS|178
DICT_SQL_DBLOG|151
SH_PRDT1|133
PRD_HIS_I|121
TF_MP3|114
TF_POS|93
TF_POS_Z|83
SETDEFVALUES|81
MF_MO|80
TF_PSS|72
TF_PSS_Z|71
TF_ML|67
TF_MM0|66
TF_TW|65
PRINT_DATA|64
TF_MO|59
SH_DJ|56
MF_TW|54
TF_TB|50
MF_TB|49
SALM|46
SARP|44
VIR_GRP|44
MF_YG|44
MF_POS|42
DB_PSWD|42
SH_LIST|42
CUST|38
SYS_SHOW|37
TF_MP2|37
A_PING|35
MF_IJ|32
MF_PSS|29
TF_SQ|26
CUS_WH|24
PRDT_DEL|23
RPT_DSC2|22
TF_BGHIS|19
MF_ML|18
DRP_PROP|18
HYZL|17
MF_MP|17
MF_MM0|16
INDX|15
INDX_CHK|14
TF_CS|12
MF_CS|11
DEPT|11
DEPT_CHK|10
MF_SHLC|10
MF_SQ|10
TF_DA_MO_B|10
SH_USR|10
TF_SHLC|10
PRDT_UT|9
MY_WH|9
BILD|9
CUST_DEL|8
MY_W_CHK|8
CUS_WH_DEL|6
TF_DA_MO|6
TF_BG|5
FACE_EXP|5
MF_BG|5
FACE_EXP_BK|4
FACE_FLD|4
FACE_FLD_BK|4
BIL_SPC|4
BILTYPE_VOH|4
MYSQL|4
RPT_GRP|4
MF_NEEDFLD|3
SALM_DEL|3
TF_MO_Z|3
TF_NEEDFLD|3
YG_MOBILE|3
UP_DEF|2
TF_DA_BG|2
TF_BG1|2
MF_WT|2
IJREASON|2
MF_DA|2
MF_HJ|1
INDX1|1
CSH_FRO|1
AREA|1
DEPT_DEL|1
MF_TC|1
MF_TI|1
MF_JH|1
PRDT_PIC|1
TF_BG1HIS|1
TF_HJ|1
TF_JH|1
TF_TC|1
TF_TI|1
