COLUMN_NAME DATA_TYPE
----------- ---------
MTYPE varchar
ITM int
BIL_ID varchar
ITM1 int
OS_ID varchar
FLAG int
BIL_ID varchar
MENU_NAME varchar
REM varchar
REM_GB varchar
REM_BIG5 varchar
REM_ENG varchar
MF_TABLE varchar
TF_TABLE varchar
CLS_ID varchar
XG_ID varchar
MENUID varchar
HIS_ID varchar
MOD_NAME varchar
BIL_TYPE varchar
TAB_NAME nvarchar
FLD_NO smallint
FLD_NAME nvarchar
FLD_TYPE nvarchar
FLD_LEN smallint
ISPK nvarchar
FLD_MAX nvarchar
FLD_MIN nvarchar
FLD_DEF nvarchar
FLD_PICT nvarchar
ISVCHK varchar
LKUP_TYPE smallint
LKUP_TAB_NAME nvarchar
ISCALC varchar
ISREQUIRED varchar
NOTE nvarchar
NOTE_B5 nvarchar
NOTE_EN nvarchar
CRTYPE nvarchar
CK nvarchar
FK_TAB nvarchar
FK_FIELD nvarchar
CP nvarchar
IDENT nvarchar
FLD_QW nvarchar
ALIASE nvarchar
NAME nvarchar
CRE_DATE datetime
UPD_DATE datetime
SQL_CONTENT ntext
USR nvarchar
REM_GB nvarchar
REM_BIG5 nvarchar
REM_ENG nvarchar
PROC_NAME varchar
MENU_NAME varchar
PARENT_MENU varchar
MOD_NAME varchar
DLL_NAME varchar
FORM_NAME varchar
LINK_TYPE varchar
Tab_Name varchar
VARNAME varchar
MODULANAME varchar
RPTFILENAME varchar
ISNUMBER varchar
VARDESC_GB varchar
VARDESC_BIG5 varchar
VARTYPE varchar
ALIASNAME varchar
TABLENAME varchar
FIELDNAME varchar
CONDITION varchar
SAMPLE_GB varchar
SAMPLE_BIG5 varchar
SAMPLE_ENG varchar
VARDESC_ENG varchar
INTEMPLATE varchar
SQLDATA text
Table_Name varchar
