MENU_NAME|REM|REM_GB|MF_TABLE|TF_TABLE
---------|---|------|--------|--------
|10号材料未跌价分析|10号材料未跌价分析|OT_MF_CQ.DB|OT_TF_CQ.DB
WagFR|183扣缴凭单|183扣缴凭单|MF_CGB|TF_CGB1
MrpBG|BOM切割分装单|BOM切割分装单|MF_MB|TF_MB
MrpAI|BOM物料配方更改|BOM物料配方更改|MF_ECN|TF_ECN
FasECF|BOM物料配方输入|BOM物料配方输入|MF_BOM|TF_BOM
DRPGW|DRP出差申请单|DRP出差申请单|MF_GW|TF_GW
DrpTJ|DRP调价单|DRP调价单|MF_TJ|TF_TJ
InvDDC|DRP客户调货单|DRP客户调货单|MF_IC|TF_IC
InvDDA|DRP配送单|DRP配送单|MF_IC|TF_IC
InvDDB|DRP配送退回单|DRP配送退回单|MF_IC|TF_IC
DRPTT|DRP批次调价单|DRP批次调价单|MF_TT|TF_TT
MrpAID|ECN变更分析作业|ECN变更分析作业|MF_ECN_FX|TF_ECN_FX1
MrpAIA|ECN变更作业|ECN变更作业|MF_ECN_GX|TF_ECN_GX
InvTRDEA|Invoice & Packing|Invoice & Packing|MF_PACK|TF_PACK
SgtFA|L/C开帐单作业|L/C开帐单作业|MF_LCO|TF_LCO
POS|POS BOM表|POS BOM表|MF_PBOM|TF_PBOM
PosIJ|POS调整单|POS调整单|POSMF_IJ|POSTF_IJ
POSZT|POS订台|POS订台|MF_POSZT|TF_POSZT
POS_CUST|POS会员客户|POS会员客户|CUST|POSCARD
INVWW|POS交班|POS交班|MF_POSJB|
PosBA|POS前台开单|POS前台开单||
PosBC|Pos订货单|Pos订货单|POSPOS0|POSPOS1
InvDBC|WI 盘点单|WI 盘点单|MF_WI|TF_WI
OthGGEC6|XRF检验单|XRF检验单|XRF_GGEC|
MTNOI|安装单|安装单|MF_MOUT|TF_MOUT
MTNZI|安装配方|安装配方|MF_IBOM|TF_IBOM
MTNOD|安装完工单|安装完工单|MF_MFIN|TF_MFIN
MTNOB|安装完工折让单|安装完工折让单|MF_MFIN|TF_MFIN
ABC|百货业编码|百货业编码|MF_DP|TF_DP
|办公物品领用|办公物品领用|MF_GUIDE.DB|TF_GUIDE.DB
|包装类型设定(兆吉)|包装类型设定(兆吉)|BZZL|BZPZ
InvTRDB|包装清单|包装清单|MF_LIST|TF_LIST
WagAT|保險調整計算作業|保險調整計算作業|MF_JB_CALC|TF_JB_CALC
MrpAGH|报废单[入废品仓]|报废单[入废品仓]|MF_IJ|TF_IJ
MrpAGE|报废申请单|报废申请单|MF_SQD|TF_SQD
InvAB|报价单|报价单|MF_QTS|TF_QTS
OthSHFJE|报价单(上海通用风机)|报价单(上海通用风机)|MF_FJBJ|TF_FJBJ
OthAB|报价单(印刷业)|报价单(印刷业)|MF_NCQ_QT|TF_NCQ_QT1
InvABH|报价分析单|报价分析单|MF_BJFX_ZS|TF_BJFX_ZS
MonDA|报销单|报销单|MF_BX|TF_BX
OTH00097|拨款单|拨款单||
MngCCC|补/特休转薪资|补/特休转薪资|MF_KT|TF_KT
InvCM|补开发票作业[未立帐]|补开发票作业[未立帐]|MF_BIL|TF_BIL
InvCMA|补开发票作业[已立帐]|补开发票作业[已立帐]|MF_BIL|TF_BIL
InvBM|补收发票作业[未立帐]|补收发票作业[未立帐]|MF_BIL|TF_BIL
InvBMA|补收发票作业[已立帐]|补收发票作业[已立帐]|MF_BIL|TF_BIL
MrpFEL|不合格品审理单|不合格品审理单|MF_LS_QC|TF_LS_QC
FasED|部门代号|部门代号|DEPT|
AccAJ|部门分摊主库|部门分摊主库|ASHR|ASHR1
