Sch|Tbl|Cnt
---|---|---
dbo|DICT_FLD|40073
dbo|RPT_DSG|4130
dbo|DLLLINK|2671
dbo|DICT_TAB|2296
dbo|LWJ_DICT|2296
dbo|DICT_SPTR|874
dbo|RPT_MAT_OTH|724
dbo|DATAEX|625
dbo|RPT_DSC|493
dbo|RPT_MAT|471
dbo|DICT_IDX|398
dbo|BIL_LC|224
dbo|DICT_SQL|171
dbo|DICT_CASE|118
dbo|TABLESRC|80
dbo|RPT_WE|67
dbo|USR_DSG|25
dbo|DICT_SQL_LOG|20
dbo|LOGT|17
dbo|RPT_PRT|7
dbo|FileServer|4
dbo|COMP|1
dbo|PSWD|1
dbo|WORKTABLE|1
dbo|WORKTABLE_RO|0
dbo|SGT_TRAN|0
dbo|SMS_SEND|0
dbo|SPC_PRG|0
dbo|SYS_REPORTS|0
dbo|TAB_FK|0
dbo|PSWD_GROUP|0
dbo|PSWD_H|0
dbo|PSWD_MOD|0
dbo|PSWD_OAROLE|0
dbo|PSWD_PROP|0
dbo|PSWD_RO|0
dbo|PSWD_ROLE|0
dbo|PSWD_TITLE|0
dbo|PSWD1|0
dbo|PSWD1_H|0
dbo|PSWD1_RO|0
dbo|PSWD1_RO_H|0
dbo|ROLE|0
dbo|ROLE_GR|0
dbo|RPT_FILE|0
dbo|RPT_FOLDER|0
dbo|RPT_LW|0
dbo|USR_FINGER|0
dbo|USRMSG|0
dbo|USRMSG_H|0
dbo|USRMSG_TD|0
dbo|WORD|0
dbo|WORD_ACC|0
dbo|WORD_DEL|0
dbo|TF_DEF|0
dbo|TF_FLD|0
dbo|TF_JOB|0
dbo|TF_SMS|0
dbo|UPD_SIGN|0
dbo|URLREF|0
dbo|USER_PDM|0
dbo|USERMEMO|0
dbo|USERRES|0
dbo|DICT_PGM|0
dbo|MENUTREE|0
dbo|MF_DEF|0
dbo|MF_FLD|0
dbo|MF_JOB|0
dbo|MF_SMS|0
dbo|MY_GROUP|0
dbo|NETUSER|0
dbo|NUMERIC_TRANSINFO|0
dbo|OAROLE|0
dbo|OAROLE1|0
dbo|OAVIEW|0
dbo|OS_ACTION|0
dbo|FORM_PROP|0
dbo|FX_PSWD|0
dbo|FX_SYS|0
dbo|GLOBAL_SET|0
dbo|HSCODE|0
dbo|ISMG|0
dbo|ISMG_RULE|0
dbo|ISMG_USR|0
dbo|LOG_JOB|0
dbo|LOGIN_INFO|0
dbo|BUGT|0
dbo|DEF_NS|0
dbo|DEF_NS_COMP|0
dbo|ADR_CITY|0
dbo|ADR_COT|0
dbo|ADR_COUN|0
dbo|ADR_PROV|0
dbo|BAR_PSWD_PROP|0
